,Unnamed: 0,StringZ:aLund,StringZ:bLund,StringZ:rFactC,StringZ:rFactB,StringZ:aExtraSQuark,StringZ:aExtraDiquark,StringPT:sigma,StringPT:enhancedFraction,StringPT:enhancedWidth,StringFlav:ProbStoUD,StringFlav:probQQtoQ,StringFlav:probSQtoQQ,StringFlav:ProbQQ1toQQ0,TimeShower:alphaSvalue,TimeShower:pTmin,chi2
2,2,1.0188154850873006,1.9076452006815208,0.5936283385190035,1.285955777383757,0.4697473528553373,0.6166838209848404,0.3216320742288703,0.0930155945958775,3.353963448551476,2.502734016446491,1.6118048037352632,3.728122776283648,3.5305196378917216,0.1500971432563005,1.086739142923913,38.989016255931155
3,3,0.9887163581898128,0.4710204223926791,1.764055427379417,0.4627884859291378,1.9212705913753836,0.8721698045699601,0.8553246710948194,0.9695043430106268,1.3994149059518357,3.818593181543916,1.1487809160695166,2.588958299944552,2.0946271464345605,0.1141957748482643,1.9305155441391493,40.164802880920746
4,4,0.444192989995098,1.8343901333909816,0.1239160833702606,1.9641298041751951,0.7338001155832717,1.4303673287107517,0.2230754623422764,0.812723725115244,2.754028081169997,3.01633457815124,0.0744180702484701,0.0433061428733712,2.4765949791512387,0.100424453477527,1.3586199486966748,29.317392540752476
8,8,0.463673109233932,1.6476239526597274,1.4843687890231478,0.7063671308171554,1.915505147064576,1.57979156927181,0.0269790516948642,0.0887888930980987,2.203873569689615,3.153978433489615,2.0981167351821703,0.9351232350495404,0.5653458573357104,0.1263091063635782,0.8281725008833338,42.06221842371142
9,9,1.0347337084645745,1.4892350019815312,0.4382488399567738,0.5170647940598789,0.4904251485465208,1.2231980745761937,0.5901378195010661,0.841278755470827,3.6434482115401865,3.529870266712897,0.183085334876741,1.555950532181976,0.4212208009645191,0.1609886026631152,1.1831234598934064,39.71694163403868
10,10,0.170485353648826,0.2417419011724834,0.0179964556741422,0.9143043611935192,0.3479671602348364,1.007713866887744,0.4361786671897672,0.0890373419970294,2.4497983956557485,3.297117400709041,0.4591700464173653,0.9898636550702212,3.493615960160976,0.109282331964685,1.5399850732056066,31.46251509290111
12,12,0.9272094562160148,0.8713898947779228,0.7937754698691397,1.7591655688853625,1.0115565053597904,1.4937971078564258,0.5733510006715797,0.7822045316396062,1.3641240517540625,1.5062077673598144,3.928612189493398,2.902681663118027,1.2462719875565746,0.1595679865324319,1.4957534924166438,42.883076840546366
13,13,0.2938589183066176,0.941117462910463,0.8190559625291173,0.2933546088097628,1.774502200974587,0.4220496792671309,0.3831636065583788,0.8623906971786984,3.747606855705153,0.3318462940851561,1.4016649913584,3.3173258910505754,0.4692550070837821,0.2210903865592636,0.1767513088390327,45.3672364026951
16,16,0.4277065823134727,1.9895277446274973,0.0441788837852635,0.2927708685845772,1.0558486590667042,1.2050079831958689,0.5283234854567793,0.9713316148972806,2.188987950666763,0.7638403722467507,2.767421858820786,2.578313850700919,1.5476215360583694,0.1425901544857058,1.5712444559869991,39.53862802811824
19,19,0.2542047932510956,0.7768340318765306,1.673509299601358,1.8865541535553072,0.1382804095628873,1.6625557291224515,0.5262955035617425,0.9156992535824658,3.323889088596375,3.544124400563721,1.6225295724394448,1.1972882847801265,2.7057125079691517,0.0837838242554721,0.9867485267710636,44.327504482785905
22,22,0.3457714543670059,0.7505322774019481,1.3942120386821677,1.206559210031715,1.8873959836744487,1.1900892472967963,0.7428171288159082,0.2881694361294336,2.4519582178918355,1.9755865220670372,0.8224957638712125,1.1417918283966553,3.145799729859544,0.0613890546950338,1.2048018666192557,41.7051404865502
23,23,0.0858326001477067,1.5609286457987692,0.6639615097358017,0.1482545481892075,0.1157326293945686,0.1044954367865768,0.2773736258410362,0.8051381623163295,3.0786855363724093,2.3100160512988865,3.261368969550302,3.65712936676334,3.627247328140806,0.1704038962379609,1.9435481054181505,40.1207846851053
24,24,1.2760785116106836,1.5718573474470097,1.9170494000753877,1.8329513720506485,0.8107767493415139,1.8005836979644112,0.3325726263563909,0.6695652575360942,2.660062521691232,2.988898821815713,1.10202634489283,0.3561696429078123,0.5809630412336096,0.0996881195477022,1.1753775587234947,32.48675821922948
27,27,0.6797105214956305,1.080641168844472,0.3258808474810168,1.676984645579565,0.702004974620604,1.6146134027623025,0.5714642842401251,0.5687615034783474,3.946713221367226,0.4988531500236853,1.1343401925112044,0.6349809285973526,1.6172051474846505,0.1334093532331986,1.166871125722397,36.097306474547004
29,29,1.7981233362986484,1.850645553128932,0.6954307208663302,0.2451642132156494,0.6421270320156642,1.9906751813878032,0.2944693272399719,0.0066384083276041,1.3216202151402685,2.8600008500908487,3.0082131726354464,3.2291386648550477,3.965892415132009,0.0929636091197346,1.2202003703103022,42.945877913333526
34,34,0.4349897786066994,1.3615560528156063,0.4749534968286356,0.9081330177281352,1.344401795233029,0.6385327544734767,0.8351460780535952,0.8661228053953349,3.284002082053445,1.2777044522651937,2.110698667745879,3.3907397405685,3.5522929374989936,0.1574749651340629,1.1988502197810835,28.899032363377657
35,35,0.4682502673097407,1.5658587109567808,1.4221082906336804,1.499886871952993,1.2843505709166825,1.206003161941308,0.773114824216011,0.3593504894455338,2.620447748889511,2.9046061150207723,2.6511109374830144,2.995803435012064,2.8608252309675795,0.0946318296345495,1.7503397234119829,43.573468030144525
40,40,1.3956491259339252,0.3101534257437841,1.3735795571198604,0.2902739852187586,0.2610762053417783,1.9927363523495265,0.3561852021316669,0.1984668118598253,2.158031436325348,3.585568132574646,2.410830885069396,0.1346910184921695,0.3693019658752867,0.0893083174000516,1.600237247352307,30.189401198909497
41,41,0.4382793357534131,1.1679713927953492,1.7840485020691823,0.4744181837264343,0.0299085850054851,1.6125064751735323,0.2267068227821129,0.3268462872709765,1.672692963233387,0.8042907707861531,3.776189616740351,0.619430812323858,1.8605196276406288,0.0906243274182847,1.0326778239696786,38.53523756876298
44,44,1.808685947311982,1.1534625330547983,0.7981086666098454,0.5450830734809182,0.2318844518912839,0.7265301302013442,0.4227678740533373,0.0840018707471716,1.7719602292690395,3.891444604639264,1.8366343153445808,2.651132681067443,1.5442440419453558,0.061750855732332,1.6253482015643617,44.24003604034393
45,45,1.5083652271214016,1.5768311434617106,1.709129626068089,0.0005949477958907,0.2203167657989418,0.6718255208446346,0.138917049665923,0.3087078099916011,1.4258951352024545,0.0239726878839318,1.944520533719584,1.131102627606281,0.1090733921738553,0.0935260605051645,1.5362119973084585,35.63938609347948
46,46,0.061270583118586,0.9180668974476518,0.7110504869298252,1.6238525907625585,1.9420813819929563,0.1307626302179417,0.8085672823965279,0.7442917863710333,1.3496885185909913,1.4275152514047025,0.8281277400330269,3.662225180467928,0.8046220317427174,0.1463725819466797,1.631878884597125,38.647980447605725
48,48,1.484203017972518,1.483945500439554,1.8158157462361373,1.733749627364437,0.7007923925485655,1.93351087295869,0.7762173363997177,0.1177571048321566,1.037203037919694,3.707850094580385,0.3402265616258358,2.551470420913624,1.1210119074575895,0.068344821043083,1.37256012816197,33.89595662846062
