# BEGIN HISTO1D /ALEPH_1996_S3486095/d01-x01-y01
Path=/ALEPH_1996_S3486095/d01-x01-y01
ScaledBy=1.00000000000000008e-05
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-03	1.186600e+01	1.540519e-01	1.540519e-01
5.000000e-03	1.000000e-02	2.362000e+01	2.173476e-01	2.173476e-01
1.000000e-02	1.500000e-02	2.070200e+01	2.034797e-01	2.034797e-01
1.500000e-02	2.000000e-02	1.715000e+01	1.852026e-01	1.852026e-01
2.000000e-02	2.500000e-02	1.373200e+01	1.657227e-01	1.657227e-01
2.500000e-02	3.000000e-02	1.116200e+01	1.494122e-01	1.494122e-01
3.000000e-02	3.500000e-02	9.018000e+00	1.342982e-01	1.342982e-01
3.500000e-02	4.000000e-02	7.536000e+00	1.227681e-01	1.227681e-01
4.000000e-02	5.000000e-02	6.077000e+00	7.795512e-02	7.795512e-02
5.000000e-02	6.000000e-02	4.457000e+00	6.676077e-02	6.676077e-02
6.000000e-02	8.000000e-02	3.322000e+00	4.075537e-02	4.075537e-02
8.000000e-02	1.000000e-01	2.256000e+00	3.358571e-02	3.358571e-02
1.000000e-01	1.200000e-01	1.708500e+00	2.922756e-02	2.922756e-02
1.200000e-01	1.600000e-01	1.174750e+00	1.713731e-02	1.713731e-02
1.600000e-01	2.000000e-01	7.947500e-01	1.409566e-02	1.409566e-02
2.000000e-01	2.500000e-01	5.312000e-01	1.030728e-02	1.030728e-02
2.500000e-01	3.000000e-01	3.736000e-01	8.644073e-03	8.644073e-03
3.000000e-01	3.500000e-01	2.736000e-01	7.397297e-03	7.397297e-03
3.500000e-01	4.000000e-01	2.042000e-01	6.390618e-03	6.390618e-03
4.000000e-01	5.000000e-01	1.423000e-01	3.772267e-03	3.772267e-03
5.000000e-01	6.000000e-01	7.810000e-02	2.794638e-03	2.794638e-03
6.000000e-01	7.000000e-01	4.020000e-02	2.004994e-03	2.004994e-03
7.000000e-01	8.000000e-01	9.500000e-03	9.746794e-04	9.746794e-04
# END HISTO1D


# BEGIN HISTO1D /ALEPH_1996_S3486095/d02-x01-y01
Path=/ALEPH_1996_S3486095/d02-x01-y01
ScaledBy=1.00000000000000008e-05
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-03	7.426400e+01	5.450284e-01	5.450284e-01
